Date,Time,Focal_Depth,Primary_Magnitude,Country,Location_Name,Latitude,Longitude,Maximum_Water_Height,Total_Deaths,Total_Injuries,Total_Damage_Million_Dollars,Total_Houses_Destroyed,Total_Houses_Damaged
26-05-83,2:59:59,24,7.8,JAPAN,"NOSHIRO, JAPAN",40.462,139.102,14.93,104,324,800,3513,
09-06-83,12:49:03,26,5.9,JAPAN,"NOSHIRO, JAPAN",40.249,138.948,0.6,,,,,
21-06-83,6:25:27,10,6.9,JAPAN,N. HONSHU ISLAND,41.346,139.099,1,,,,,
06-08-83,15:43:51,2,7,GREECE,NORTH AEGEAN SEA,40.142,24.766,,,,,,
17-08-83,10:55:54,63,7.1,RUSSIA,"KAMCHATKA BAY, RUSSIA",55.867,161.287,0.1,,,,,
17-08-83,12:17:56,29,6.6,PHILIPPINES,LUZON ISLAND,18.231,120.86,0.1,16,47,,,
04-10-83,18:52:13,15,7.7,CHILE,NORTHERN CHILE,-26.535,-70.563,0.2,5,12,1,40,
30-11-83,17:46:00,10,7.7,UK TERRITORY,CHAGOS ARCHIPELAGO REGION,-6.852,72.11,1.5,,,,,
17-01-83,12:41:29,,7.2,GREECE,IONIAN SEA,38.026,20.228,,,,,,
08-01-84,15:24:13,33,6.8,INDONESIA,SULAWESI,-2.823,118.806,0.1,2,23,,,
11-02-84,8:02:51,29,5.4,GREECE,"CORINTHOS GULF, GREECE",38.396,22.094,,,,,,
24-03-84,9:44:02,44,7.2,RUSSIA,S. KURIL ISLANDS,44.117,148.192,0.2,,,,,
13-06-84,2:29:25,41,5.5,JAPAN,"TORI SHIMA, OKINAWA",31.448,140.036,0.5,,,,,
06-08-84,19:06:38,46,7,JAPAN,"KYUSHU, JAPAN",32.386,131.945,0.2,,9,,,
18-09-84,17:02:44,48,6.9,JAPAN,HONSHU ISLAND,34.006,141.5,0.13,,,,,
28-12-84,10:37:53,33,6.8,RUSSIA,KAMCHATKA,56.194,163.46,0.2,,,,,
03-03-85,22:47:09,33,8,CHILE,CENTRAL CHILE,-33.132,-71.708,3.5,180,2575,1500,,
16-03-85,14:54:00,13,6.4,GUADELOUPE (FRENCH TERRITORY),GUADELOUPE,17.013,-62.448,0.12,,6,,,
13-04-85,1:06:00,99,6.2,INDONESIA,BALI ISLAND,-9.245,114.185,2,,,,,
03-07-85,4:36:51,46,7.3,PAPUA NEW GUINEA,NEW IRELAND,-4.439,152.828,1.3,,,1,,
21-09-85,1:37:13,31,7.6,MEXICO,MEXICO,17.802,-101.647,1.2,,,,,
07-05-86,22:47:10,31,8,USA,"ANDREANOF ISLANDS, AK",51.52,-174.776,0.9,,,,,
17-05-86,16:20:22,15,6.4,USA,"ANDREANOF ISLANDS, AK",52.327,-174.504,,,,,,
20-10-86,6:46:09,29,7.8,NEW ZEALAND,KERMADEC ISLANDS,-28.117,-176.367,0.22,,,,,
14-11-86,21:20:10,34,7.8,TAIWAN,TAIWAN,23.901,121.574,0.3,15,44,,,
06-02-87,13:16:17,48,6.7,JAPAN,E. HONSHU ISLAND,36.988,141.689,0.1,,,,,
08-02-87,18:33:58,55,7.4,PAPUA NEW GUINEA,SOLOMON SEA,-6.088,147.689,1.5,3,,2.625,,
05-03-87,9:17:05,62,7.6,CHILE,NORTHERN CHILE,-24.388,-70.161,0.2,1,,,,
18-03-87,3:36:30,54,6.7,JAPAN,KYUSHU ISLAND,32.034,131.837,0.04,2,5,,,
24-03-87,12:49:47,23,5.1,JAPAN,HONSHU ISLAND,37.447,137.865,0.16,,,,,
18-06-87,14:03:16,75,6.3,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.717,162.33,0.1,,,,,
06-07-87,2:49:42,48,6.7,VANUATU,VANUATU ISLANDS,-14.074,167.828,0.1,,,,,
06-10-87,4:19:06,16,7.3,TONGA,TONGA ISLANDS,-17.94,-172.225,0.25,,,,,
12-10-87,13:57:04,25,7,PAPUA NEW GUINEA,SOLOMON SEA,-7.288,154.371,0.1,,,,,
16-10-87,20:48:01,48,7.4,PAPUA NEW GUINEA,SOLOMON SEA,-6.266,149.06,0.1,,,,,
17-11-87,8:46:53,10,7.2,USA,"GULF OF ALASKA, AK",58.586,-143.27,0.06,,,,,
26-11-87,1:43:14,33,6.6,INDONESIA,TIMOR SEA,-8.247,124.155,0.1,,,,,
30-11-87,19:23:19,10,7.9,USA,"GULF OF ALASKA, AK",58.679,-142.786,0.43,,,,,
05-02-88,14:01:02,37,7.2,CHILE,NORTHERN CHILE,-24.753,-70.433,0.1,,,,,
06-03-88,22:35:36,15,7.8,USA,"GULF OF ALASKA, AK",57.262,-142.747,0.19,,,0.005,,
24-06-88,2:06:26,53,5.4,PHILIPPINES,NORTH OF LUZON ISLAND,18.606,121.013,1.03,,,,,
05-07-88,20:32:07,53,6.8,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-5.964,148.78,0.1,,,,,
10-08-88,4:38:29,36,7.6,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.258,160.896,0.09,1,,,100,
06-08-88,0:36:24,91,7.2,BANGLADESH,"JAMUNA RIVER, ARICHA, BANGLADESH",25.149,95.127,,2,,,,
23-05-89,10:54:46,10,8.1,AUSTRALIA,MACQUARIE ISLAND,-52.341,160.568,0.1,,,,,
26-06-89,3:27:03,9,6.5,USA,HAWAII,19.362,-155.083,0.29,,,,,
04-09-89,13:14:58,11,7.1,USA,"SEMIDI ISLANDS, AK",55.543,-156.835,0.1,,,,,
18-10-89,0:04:15,19,6.9,USA,N. CALIFORNIA,37.036,-121.883,1,62,3757,5600,,
29-10-89,5:25:38,10,6.5,JAPAN,N. HONSHU ISLAND,39.571,143.333,0.11,,,,,
01-11-89,18:25:34,29,7.4,JAPAN,JAPAN,39.837,142.76,0.9,,,,,
